smallcode,total,APPROVED BY Pengawas,COMPLETED BY Admin Kabupaten,DRAFT,EDITED BY Admin Kabupaten,OPEN,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,REVOKED BY Admin Kabupaten,REVOKED BY Pengawas,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT
6.40901E+15,158,129,0,0,10,8,0,5,0,0,6,0
6.40901E+15,58,37,0,0,0,1,0,4,0,0,16,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,138,7,0,0,0,33,0,0,0,0,98,0
6.40901E+15,113,17,0,0,0,89,0,1,0,0,6,0
6.40901E+15,118,0,0,0,0,118,0,0,0,0,0,0
6.40901E+15,236,214,0,0,7,4,0,3,0,0,7,1
6.40901E+15,99,0,0,0,0,96,0,0,0,0,0,3
6.40901E+15,58,13,0,0,0,27,0,18,0,0,0,0
6.40901E+15,106,0,0,0,0,106,0,0,0,0,0,0
6.40901E+15,117,0,0,0,0,78,0,2,0,0,37,0
6.40901E+15,34,0,0,0,0,6,0,0,0,0,28,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,0,0,0,0,0,1,0
6.40901E+15,1,0,0,0,0,0,0,0,0,0,1,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,78,56,0,2,3,12,0,1,0,0,4,0
6.40901E+15,113,16,0,8,0,18,0,0,0,0,71,0
6.40901E+15,100,0,0,0,0,100,0,0,0,0,0,0
6.40901E+15,52,0,0,0,0,52,0,0,0,0,0,0
6.40901E+15,159,5,0,7,0,106,0,0,0,0,41,0
6.40901E+15,73,3,0,0,0,70,0,0,0,0,0,0
6.40901E+15,69,1,0,0,0,65,0,0,0,0,3,0
6.40901E+15,19,0,0,0,0,19,0,0,0,0,0,0
6.40901E+15,131,67,0,1,10,21,0,2,0,0,30,0
6.40901E+15,84,5,0,0,0,33,0,0,0,0,46,0
6.40901E+15,72,6,0,0,0,45,0,0,0,0,21,0
6.40901E+15,124,0,0,0,0,124,0,0,0,0,0,0
6.40901E+15,75,0,0,0,0,73,0,0,0,0,0,2
6.40901E+15,81,64,0,5,0,12,0,0,0,0,0,0
6.40901E+15,115,48,0,1,0,0,0,2,0,0,64,0
6.40901E+15,90,32,0,5,0,0,0,0,0,0,53,0
6.40901E+15,95,3,0,0,0,8,0,18,0,0,66,0
6.40901E+15,50,6,0,0,0,1,0,10,0,0,33,0
6.40901E+15,118,101,0,0,0,7,0,6,0,1,3,0
6.40901E+15,102,34,0,0,1,30,0,2,0,0,35,0
6.40901E+15,53,0,0,0,0,4,0,0,0,0,49,0
6.40901E+15,90,0,0,0,0,33,0,0,0,0,57,0
6.40901E+15,85,0,0,0,0,85,0,0,0,0,0,0
6.40901E+15,78,0,0,0,0,76,0,0,0,0,2,0
6.40901E+15,96,0,0,0,0,96,0,0,0,0,0,0
6.40901E+15,8,0,0,0,0,8,0,0,0,0,0,0
6.40901E+15,20,0,0,0,0,20,0,0,0,0,0,0
6.40901E+15,101,0,0,0,0,101,0,0,0,0,0,0
6.40901E+15,45,0,0,0,0,45,0,0,0,0,0,0
6.40901E+15,68,0,0,0,0,68,0,0,0,0,0,0
6.40901E+15,20,0,0,0,0,20,0,0,0,0,0,0
6.40901E+15,54,0,0,0,0,54,0,0,0,0,0,0
6.40901E+15,98,0,0,0,0,98,0,0,0,0,0,0
6.40901E+15,159,40,0,8,0,12,0,3,0,0,96,0
6.40901E+15,73,28,0,5,0,2,0,3,0,0,35,0
6.40901E+15,76,0,0,0,0,75,0,1,0,0,0,0
6.40901E+15,55,0,0,0,0,55,0,0,0,0,0,0
6.40901E+15,83,0,0,0,0,82,0,0,0,0,0,1
6.40901E+15,24,0,0,0,0,24,0,0,0,0,0,0
6.40901E+15,85,0,0,0,0,85,0,0,0,0,0,0
6.40901E+15,38,1,0,0,0,37,0,0,0,0,0,0
6.40901E+15,94,22,0,13,0,3,0,2,0,0,54,0
6.40901E+15,55,6,0,1,0,40,0,0,0,0,8,0
6.40901E+15,36,4,0,21,0,3,0,0,0,0,8,0
6.40901E+15,43,18,0,1,0,24,0,0,0,0,0,0
6.40901E+15,43,0,0,0,0,43,0,0,0,0,0,0
6.40901E+15,27,0,0,0,0,27,0,0,0,0,0,0
6.40901E+15,19,0,0,1,0,18,0,0,0,0,0,0
6.40901E+15,22,3,0,2,0,15,0,0,0,0,2,0
6.40901E+15,120,0,0,0,0,119,0,0,0,0,1,0
6.40901E+15,61,0,0,0,0,61,0,0,0,0,0,0
6.40901E+15,121,80,0,1,2,1,0,0,0,0,37,0
6.40901E+15,122,60,0,3,0,0,0,2,0,0,57,0
6.40901E+15,132,13,0,6,0,98,0,0,0,0,14,1
6.40901E+15,9,0,0,0,0,8,0,0,0,0,0,1
6.40901E+15,3,0,0,0,0,3,0,0,0,0,0,0
6.40901E+15,187,181,0,0,3,3,0,0,0,0,0,0
6.40901E+15,131,117,0,0,0,4,0,10,0,0,0,0
6.40901E+15,171,80,0,2,0,65,0,22,0,0,1,1
6.40901E+15,97,40,0,1,0,49,0,7,0,0,0,0
6.40901E+15,120,18,0,0,0,102,0,0,0,0,0,0
6.40901E+15,172,128,0,0,2,0,0,39,0,0,2,1
6.40901E+15,239,147,0,0,0,51,0,19,0,0,22,0
6.40901E+15,194,104,0,0,0,16,0,13,0,0,61,0
6.40901E+15,103,57,1,0,0,5,0,10,0,0,29,1
6.40901E+15,123,35,0,0,0,44,0,1,0,0,43,0
6.40901E+15,99,0,0,0,0,99,0,0,0,0,0,0
6.40901E+15,59,0,0,0,0,59,0,0,0,0,0,0
6.40901E+15,57,0,0,0,0,57,0,0,0,0,0,0
6.40901E+15,46,0,0,0,0,46,0,0,0,0,0,0
6.40901E+15,50,28,0,0,0,7,0,0,0,0,15,0
6.40901E+15,96,0,0,0,0,96,0,0,0,0,0,0
6.40901E+15,20,0,0,0,0,20,0,0,0,0,0,0
6.40901E+15,32,0,0,0,0,32,0,0,0,0,0,0
6.40901E+15,12,0,0,0,0,12,0,0,0,0,0,0
6.40901E+15,23,0,0,0,0,23,0,0,0,0,0,0
6.40901E+15,5,0,0,0,0,5,0,0,0,0,0,0
6.40901E+15,18,0,0,0,0,18,0,0,0,0,0,0
6.40901E+15,67,1,0,0,0,65,0,0,0,0,0,1
6.40901E+15,57,1,0,0,0,56,0,0,0,0,0,0
6.40901E+15,86,25,0,0,0,61,0,0,0,0,0,0
6.40901E+15,59,8,0,0,0,50,0,0,0,0,1,0
6.40901E+15,111,10,0,2,0,98,0,1,0,0,0,0
